iteracao,residuo
1,1.91016
2,0.367391
3,0.0706156
4,0.0135574
5,0.00260042
6,0.000498448
7,9.54987e-05
8,1.82909e-05
9,3.50246e-06
10,6.70555e-07
11,1.28361e-07
12,2.4569e-08
13,4.70253e-09
