metodo,plataforma,n,smoother,iteracoes,erro,residuo,tempo_ms
mg,cpu,128,jacobi_amortecido,13,5.02005e-05,4.6069e-09,2.80398
mg,cpu,128,gauss_seidel_rb,8,5.02007e-05,3.02302e-09,2.13582
mg,cpu,64,gauss_seidel,9,0.000200822,5.21887e-09,0.699464
mg,cpu,64,sor,8,0.000200822,5.77021e-09,0.979781
mg,cpu,64,jacobi_amortecido,13,0.000200821,4.51336e-09,0.773623
mg,cpu,64,gauss_seidel_rb,8,0.000200822,2.95845e-09,0.529975
mg,cpu,4096,gauss_seidel,9,4.89636e-08,6.31299e-09,6603.04
mg,cpu,4096,sor,8,4.89989e-08,7.25557e-09,7425.1
mg,cpu,4096,jacobi_amortecido,13,4.85925e-08,5.97218e-09,7660.88
mg,cpu,4096,gauss_seidel_rb,8,4.88043e-08,4.24153e-09,5013.56
mg,cpu,256,gauss_seidel,9,1.25499e-05,5.54795e-09,18.089
mg,cpu,256,sor,8,1.25499e-05,6.39255e-09,22.2863
mg,cpu,256,jacobi_amortecido,13,1.25495e-05,4.65945e-09,17.7676
mg,cpu,256,gauss_seidel_rb,8,1.25497e-05,3.03943e-09,12.7026
