smoother,n,run,vcycles,tempo_ms,residuo,erro_max
gauss_seidel_rb,128,2,9,3.67191,1.87217e-10,5.02009e-05
gauss_seidel_rb,128,3,9,3.60229,1.87217e-10,5.02009e-05
gauss_seidel_rb,128,4,9,3.82891,1.87217e-10,5.02009e-05
gauss_seidel_rb,128,5,9,3.69254,1.87217e-10,5.02009e-05
gauss_seidel_rb,256,1,9,20.7864,1.88592e-10,1.25499e-05
gauss_seidel_rb,256,2,9,19.4606,1.88592e-10,1.25499e-05
gauss_seidel_rb,256,3,9,19.8243,1.88592e-10,1.25499e-05
gauss_seidel_rb,256,4,9,19.4174,1.88592e-10,1.25499e-05
gauss_seidel_rb,256,5,9,18.994,1.88592e-10,1.25499e-05
gauss_seidel_rb,512,1,9,82.2883,1.92288e-10,3.13746e-06
gauss_seidel_rb,512,2,9,84.3144,1.92288e-10,3.13746e-06
gauss_seidel_rb,512,3,9,84.6123,1.92288e-10,3.13746e-06
gauss_seidel_rb,512,4,9,84.9877,1.92288e-10,3.13746e-06
gauss_seidel_rb,512,5,9,83.7808,1.92288e-10,3.13746e-06
gauss_seidel_rb,1024,1,9,342.455,2.4908e-10,7.84353e-07
gauss_seidel_rb,1024,2,9,349.823,2.4908e-10,7.84353e-07
gauss_seidel_rb,1024,3,9,345.946,2.4908e-10,7.84353e-07
gauss_seidel_rb,1024,4,9,349.036,2.4908e-10,7.84353e-07
gauss_seidel_rb,1024,5,9,344.581,2.4908e-10,7.84353e-07
sor,64,1,9,2.34184,3.98335e-10,0.000200822
sor,64,2,9,2.0637,3.98335e-10,0.000200822
sor,64,3,9,2.07696,3.98335e-10,0.000200822
sor,64,4,9,2.10723,3.98335e-10,0.000200822
sor,64,5,9,2.05678,3.98335e-10,0.000200822
sor,128,1,9,9.34659,4.39377e-10,5.02009e-05
sor,128,2,9,8.99839,4.39377e-10,5.02009e-05
sor,128,3,9,9.03412,4.39377e-10,5.02009e-05
sor,128,4,9,9.04998,4.39377e-10,5.02009e-05
sor,128,5,9,9.01976,4.39377e-10,5.02009e-05
sor,256,1,9,43.1776,4.55052e-10,1.25499e-05
sor,256,2,9,42.561,4.55052e-10,1.25499e-05
sor,256,3,9,44.4397,4.55052e-10,1.25499e-05
sor,256,4,9,43.1361,4.55052e-10,1.25499e-05
sor,256,5,9,43.5921,4.55052e-10,1.25499e-05
sor,512,1,9,183.4,4.6398e-10,3.13747e-06
sor,512,2,9,177.828,4.6398e-10,3.13747e-06
sor,512,3,9,179.254,4.6398e-10,3.13747e-06
sor,512,4,9,180.029,4.6398e-10,3.13747e-06
sor,512,5,9,177.073,4.6398e-10,3.13747e-06
sor,1024,1,9,741.478,4.93526e-10,7.84365e-07
sor,1024,2,9,736.593,4.93526e-10,7.84365e-07
sor,1024,3,9,736.424,4.93526e-10,7.84365e-07
sor,1024,4,9,733.381,4.93526e-10,7.84365e-07
sor,1024,5,9,733.547,4.93526e-10,7.84365e-07
